protocol,time,analyte,mean,sd,n_obs
P2,24,HB,8.7333,0.45,15
P2,3,HB,8.8071,0.506,14
P2,6,HB,8.8231,0.54,13
P3,0,HB,8.8308,0.407,13
P3,0.5,HB,9.6,0.441,12
P3,1,HB,9.4231,0.468,13
P3,1.5,HB,9.0308,0.442,13
P3,2,HB,8.75,0.444,12
P3,24,HB,8.5643,0.395,14
P3,3,HB,8.8154,0.389,13
P3,6,HB,8.67,0.38,10
P4,0,HB,8.7786,0.495,14
P4,0.5,HB,9.3923,0.541,13
P4,1,HB,9.2786,0.556,14
P4,1.5,HB,8.8071,0.443,14
P4,2,HB,8.7385,0.466,13
P4,24,HB,8.8533,0.494,15
P4,3,HB,8.7929,0.52,14
P4,6,HB,8.7308,0.578,13
P5,0,HB,8.7733,0.575,15
P5,0.5,HB,9.66,0.495,15
P5,1,HB,9.4533,0.513,15
P5,1.5,HB,8.8533,0.475,15
P5,2,HB,8.7133,0.513,15
P5,24,HB,8.6714,0.551,14
P5,3,HB,8.7067,0.53,15
P5,6,HB,8.78,0.57,15
P1,0,HT,0.416,0.025,15
P1,0.5,HT,0.415,0.025,14
P1,1,HT,0.4167,0.025,15
P1,1.5,HT,0.4193,0.027,15
P1,2,HT,0.416,0.029,15
P1,24,HT,0.4193,0.025,15
P1,3,HT,0.4133,0.026,15
P1,6,HT,0.4107,0.025,15
P2,0,HT,0.4021,0.021,14
P2,0.5,HT,0.4385,0.021,13
P2,1,HT,0.4321,0.023,14
P2,1.5,HT,0.4029,0.022,14
P2,2,HT,0.3954,0.029,13
P2,24,HT,0.3987,0.024,15
P2,3,HT,0.3979,0.025,14
P2,6,HT,0.3977,0.026,13
P3,0,HT,0.4046,0.021,13
P3,0.5,HT,0.4408,0.018,12
P3,1,HT,0.4292,0.018,13
P3,1.5,HT,0.41,0.021,13
P3,2,HT,0.4008,0.022,12
P3,24,HT,0.39,0.018,14
P3,3,HT,0.4,0.015,13
P3,6,HT,0.389,0.021,10
P4,0,HT,0.4007,0.024,14
P4,0.5,HT,0.4254,0.025,13
P4,1,HT,0.42,0.023,14
P4,1.5,HT,0.3986,0.02,14
P4,2,HT,0.3977,0.02,13
P4,24,HT,0.4025,0.024,16
P4,3,HT,0.4,0.024,14
P4,6,HT,0.3954,0.024,13
P5,0,HT,0.4,0.023,15
P5,0.5,HT,0.4447,0.029,15
P5,1,HT,0.436,0.024,15
P5,1.5,HT,0.402,0.022,15
P5,2,HT,0.3947,0.024,15
P5,24,HT,0.3986,0.025,14
P5,3,HT,0.3927,0.025,15
